wvl_1,T = 22°C,wvl_2,T = -8°C,wvl_3,T = -25°C,wvl_4,T = -7°C,wvl_5,T = 25°C (H),wvl_6,T = 20°C,wvl_7,T = 25°C (S),Index
1020.4,2.40e-6,1020.4,2.53e-6,,,,,,,910,5.13E-07,,,260
1022.5,2.31e-6,1022.5,2.48e-6,,,,,,,911,5.21E-07,,,261
1024.6,2.22e-6,1024.6,2.36e-6,,,,,,,912,5.29E-07,,,262
1026.7,2.14e-6,1026.7,2.29e-6,,,,,,,913,5.38E-07,,,263
1028.8,2.05e-6,1028.8,1.23e-6,,,,,,,914,5.48E-07,,,264
1030.9,1.96e-6,1030.9,2.13e-6,,,,,,,915,5.58E-07,,,265
1033.1,1.89e-6,1033.1,2.04e-6,,,,,,,916,5.70E-07,,,266
1035.2,1.81e-6,1035.2,1.97e-6,,,,,,,917,5.93E-07,,,267
1037.3,1.74e-6,1037.3,1.90e-6,,,,,,,918,6.06E-07,,,268
1039.5,1.67e-6,1039.5,1.83e-6,,,,,,,919,6.22E-07,,,269
1041.7,1.61e-6,1041.7,1.75e-6,,,,,,,920,6.38E-07,,,270
1043.8,1.55e-6,1043.8,1.71e-6,,,,,,,921,6.57E-07,,,271
1046.0,1.49e-6,1046.0,1.63e-6,,,,,,,922,6.80E-07,,,272
1048.2,1.43e-6,1048.2,1.57e-6,,,,,,,923,7.02E-07,,,273
1050.4,1.39e-6,1050.4,1.53e-6,,,,,,,924,7.27E-07,,,274
1052.6,1.35e-6,1052.6,1.47e-6,,,,,,,925,7.51E-07,,,275
1054.9,1.31e-6,1054.9,1.44e-6,,,,,,,926,7.81E-07,,,276
1057.1,1.28e-6,1057.1,1.37e-6,,,,,,,927,8.11E-07,,,277
1059.3,1.26e-6,1059.3,1.35e-6,,,,,,,928,8.49E-07,,,278
1061.6,1.23e-6,1061.6,1.35e-6,,,,,,,929,8.80E-07,,,279
1063.8,1.22e-6,1063.8,1.30e-6,,,,,,,930,9.18E-07,,,280
1066.1,1.21e-6,1066.1,1.30e-6,,,,,,,931,9.63E-07,,,281
1068.4,1.20e-6,1068.4,1.29e-6,,,,,,,932,1.00E-06,,,282
1070.7,1.20e-6,1070.7,1.26e-6,,,,,,,933,1.05E-06,,,283
1073.0,1.20e-6,1073.0,1.28e-6,,,,,,,934,1.09E-06,,,284
1075.3,1.21e-6,1075.3,1.26e-6,,,,,,,935,1.14E-06,,,285
1077.6,1.23e-6,1077.6,1.27e-6,,,,,,,936,1.18E-06,,,286
1079.9,1.24e-6,1079.9,1.30e-6,,,,,,,937,1.24E-06,,,287
